news_id,url,title,text,topic,tags,published_at,language
ac6f53f4eb0d0694da64649a,https://lenta.ru/news/2019/12/10/kdobmen/,Киев и Донецк проведут обмен пленными до конца года,"До конца 2019 года между Украиной и самопровозглашенной Донецкой народной республикой (ДНР) может состояться обмен пленными. Об этом сообщила уполномоченный по правам человека в ДНР Дарья Морозова, передает «Донецкое агентство новостей». По ее словам, украинская сторона подтвердила свою готовность выдать 88 человек. Донецк со своей стороны передаст Киеву 53 человека. Во время саммита «нормандской четверки» в Париже источник в украинской делегации также рассказал журналистам о возможности проведения обмена с самопровозглашенными республиками Донбасса до 31 декабря текущего года. При этом в конце ноября МИД ДНР сообщал, что Киев занимает деструктивную позицию во время переговоров по обмену удерживаемыми лицами между Украиной и республиками Донбасса. Там отмечали, что Украина затягивает осуществление обмена, объясняя это процедурными и формальными проблемами. Обмен захваченными в ходе конфликта в Донбассе пленными по формуле «всех на всех» предусмотрен «Комплексом мер по выполнению минских соглашений», который был согласован в феврале 2015 года лидерами России, Франции, Германии и Украины. Документ подписали представители России, Украины, ОБСЕ и руководители ДНР и ЛНР. Последний крупный обмен пленными между Киевом, Луганском и Донецком состоялся 27 декабря 2017 года. Тогда Киев передал ДНР и ЛНР 233 человека, непризнанные республики отдали 73 человека.",Украина,Украина,2019-12-10,ru
345279471ec9a4eb7739f60f,https://lenta.ru/news/2019/12/10/obmen/,В Киеве назвали сроки нового обмена пленными с Донбассом,"Новый обмен пленными между Украиной и самопровозглашенными республиками Донбасса может состояться до 31 декабря 2019 года. Об этом телеканалу «Громадьске» рассказал источник в официальной украинской делегации на «нормандском саммите». Также, по утверждению собеседника канала, Киев продлит действие закона об особом статусе Донбасса В ноябре секретарь Совета национальной безопасности и обороны Украины (СНБО) Алексей Данилов рассказал, что Зеленский в ходе саммита «нормандской четверки» намерен поднять три ключевых вопроса. В первую очередь глава государства намерен обсудить тему обмена военнопленными. Как отметил Данилов, «речь идет не о десятках, речь идет о сотнях людей, которые сегодня находятся в плену». В октябре участники Трехсторонней контактной группы по урегулированию конфликта на юго-востоке Украины подписали «формулу Штайнмайера» — документ, который определяет механизм закрепления за Донбассом особого статуса, а также возможной амнистии и проведения выборов на неподконтрольных Киеву территориях. Однако националистически настроенная часть украинского общества расценила подписание документа как капитуляцию, устроив массовые протесты. «Нормандский формат» — дипломатическая группа из представителей Германии, России, Франции и Украины по урегулированию ситуации в Донбассе. Первый за три года саммит проходит в понедельник, 9 декабря, в Париже.",Украина,Украина,2019-12-10,ru
6fd07a01e8927e747fe54ea3,https://lenta.ru/news/2019/12/10/vseh/,На «нормандской встрече» договорились об обмене пленными по формуле «всех на всех»,"В ходе «нормандского саммита» достигнута договоренность об обмене пленными по формуле «всех на всех». Об этом сообщает «Интерфакс». Издание получило информацию от источника в украинской делегации. Ранее стало известно, что обмен пленными между Украиной и самопровозглашенными республиками Донбасса может состояться до 31 декабря 2019 года. Также источник заявил, что Киев продлит закон об особом статусе Донбасса. В ноябре секретарь Совета национальной безопасности и обороны Украины (СНБО) Алексей Данилов рассказал, что Зеленский в ходе саммита «нормандской четверки» намерен поднять три ключевых вопроса. В первую очередь глава государства намерен обсудить тему обмена военнопленными. Как отметил Данилов, «речь идет не о десятках, речь идет о сотнях людей, которые сегодня находятся в плену». В октябре участники Трехсторонней контактной группы по урегулированию конфликта на юго-востоке Украины подписали «формулу Штайнмайера» — документ, который определяет механизм закрепления за Донбассом особого статуса, а также возможной амнистии и проведения выборов на неподконтрольных Киеву территориях. «Нормандский формат» — дипломатическая группа из представителей Германии, России, Франции и Украины по урегулированию ситуации в Донбассе. Первый за три года саммит проходит в понедельник, 9 декабря, в Париже.",Украина,Украина,2019-12-10,ru
c1aac6dc23c51d30fa9939c7,https://lenta.ru/news/2019/12/10/merkel/,Меркель заявила о преодолении затишья в украинском конфликте,"В ходе переговоров в «нормандском формате» в Париже удалось преодолеть затишье, которое наблюдалось в вопросе урегулирования конфликта на Украине. Об этом заявила канцлер Германии Ангела Меркель на итоговой пресс-конференции после переговоров, передает RT. Прямая трансляция велась на сайте телеканала «Россия 24». Меркель подчеркнула, что лидеры России, Украины, Германии и Франции договорились о необходимости согласования политических шагов по проведению выборов в Донбассе. По ее словам, все участники саммита продемонстрировали добрую волю для разрешения конфликта в регионе. Она сообщила, что удалось договориться о прекращении огня и разведении сил на линии разграничения. Политик также высказалась за продление действия закона Об особом статусе Донбасса. Канцлер в целом положительно оценила саммит. «При всех проблемах, на которые мы смотрим реалистично, я этой встречей очень довольна», — приводит ее слова ТАСС. Ранее президент Франции Эммануэль Макрон счел плодотворным саммит в «норманском формате», прошедший 9 декабря в Париже. В общей сложности переговоры шли 5,5 часов, из которых около 1,5 часов ушли на двустороннюю встречу президента России Владимира Путина с его украинским коллегой Владимиром Зеленским. По итогу саммита лидеры стран приняли коммюнике из трех пунктов: «Немедленные меры по стабилизации ситуации в зоне конфликта», «Меры по реализации политических положений минских соглашений» и «Продолжение». «Нормандский формат» — дипломатическая группа из представителей Германии, России, Франции и Украины по урегулированию ситуации в Донбассе.",Политика,Политика,2019-12-10,ru
b0b1eb2e71c373364ef8e8e4,https://lenta.ru/news/2019/12/10/new_summit/,Определены сроки новой встречи в «нормандском формате»,"Новая встреча в «нормандском формате» должна состояться в течение четырех месяцев. Об этом заявил президент Франции Эммануэль Макрон. В итоговом коммюнике прошедшей в Париже встречи указано, что одной из основных тем следующего саммита станет вопрос организации местных выборов в Донбассе. Позднее президент Украины Владимир Зеленский заявил об отсутствии условий для проведения следующей «нормандской встречи». «Через четыре месяца есть возможность продолжить дискуссию и увидеть результаты. Но никакого домашнего задания нет», — сказал он. В общей сложности переговоры шли 5,5 часов, из которых около 1,5 часов ушли на двустороннюю встречу Путина с его украинским коллегой Владимиром Зеленским. По итогу саммита лидеры стран приняли коммюнике из трех пунктов: «Немедленные меры по стабилизации ситуации в зоне конфликта», «Меры по реализации политических положений минских соглашений» и «Продолжение». «Нормандский формат» — дипломатическая группа из представителей Германии, России, Франции и Украины по урегулированию ситуации в Донбассе.",Политика,Политика,2019-12-10,ru
b73adf7079a06aa9f7f25a9d,https://lenta.ru/news/2019/12/10/normandie/,Переговоры в «нормандском формате» завершились,"Переговоры лидеров России, Украины, Германии и Франции в «нормандском формате» окончательно завершились. Об этом сообщает РИА Новости. Последние два часа лидеры стран общались за деловым ужином. В общей сложности переговоры шли 5,5 часов, из которых около 1,5 часов ушли на двустороннюю встречу президента России Владимира Путина с его украинским коллегой Владимиром Зеленским. Как отмечается, в ближайшее время лидеры стран «нормандской четверки» дадут пресс-конференцию. По предварительной информации, в ходе саммита, в частности, достигнута договоренность об обмене пленными по формуле «всех на всех». «Нормандский формат» — дипломатическая группа из представителей Германии, России, Франции и Украины по урегулированию ситуации в Донбассе. Первый за три года саммит проходит в понедельник, 9 декабря, в Париже.",Политика,Политика,2019-12-10,ru
6af82caed278e223eac972f7,https://lenta.ru/news/2019/12/10/putin_minsk/,Путин пообещал внести посильный вклад России в урегулирование в Донбассе,"Россия будет делать все, чтобы внести посильный вклад в урегулирование ситуации в Донбассе. Об этом заявил президент России Владимир Путин на пресс-конференции по итогам саммита в «нормандском формате». По его словам, процесс достижения перемирия в Донбассе должен идти одновременно с проведением Киевом политических реформ, предусмотренных Минскими соглашениями 2015 года. В первую очередь, отметил Путин, это касается изменений в конституцию Украины, закрепляющих особый статус Донбасса на постоянной основе. Кроме того, считает российский лидер, Киев должен принять поправки, предусматривающие имплементацию «формулы Штайнмайера». Также Путин заявил, что видит потепление в ситуации с урегулированием кризиса на Украине. По его словам, процесс разрешения конфликта, как и отношения с Украиной, движутся в правильном направлении. В качестве примера он указал на саму встречу в нормандском формате, а также произошедшие ранее обмен пленными и развод сил на линии разграничения на Украине. В общей сложности переговоры шли 5,5 часов, из которых около 1,5 часов ушли на двустороннюю встречу Путина с его украинским коллегой Владимиром Зеленским. По итогу саммита лидеры стран приняли коммюнике из трех пунктов: «Немедленные меры по стабилизации ситуации в зоне конфликта», «Меры по реализации политических положений минских соглашений» и «Продолжение». «Нормандский формат» — дипломатическая группа из представителей Германии, России, Франции и Украины по урегулированию ситуации в Донбассе.",Политика,Политика,2019-12-10,ru
29b8e42f968425cbd487d936,https://lenta.ru/news/2019/12/10/poteplelo/,Путин увидел потепление в кризисе на Украине,"В ситуации с урегулированием кризиса на Украине наблюдается потепление. Такое мнение высказал президент России Владимир Путин на пресс-конференции по итогам саммита в «нормандском формате» в Париже, передает «Интерфакс». «Есть ли потепление какое-то? Я думаю, что да, а как же», — заявил российский лидер. По его словам, процесс разрешения конфликта, как и отношения с Украиной, движутся в правильном направлении. В качестве примера он указал на саму встречу в нормандском формате, а также произошедшие ранее обмен пленными и развод сил на линии разграничения на Украине. Путин также указал, что Россия будет делать все, чтобы внести посильный вклад в урегулирование ситуации в Донбассе. Канцлер Германии Ангела Меркель в свою очередь считает, что в ходе переговоров в «нормандском формате» в Париже удалось преодолеть затишье, которое наблюдалось в вопросе урегулирования конфликта на Украине. В общей сложности переговоры шли 5,5 часов, из которых около 1,5 часов ушли на двустороннюю встречу Путина с его украинским коллегой Владимиром Зеленским. По итогу саммита лидеры стран приняли коммюнике из трех пунктов: «Немедленные меры по стабилизации ситуации в зоне конфликта», «Меры по реализации политических положений минских соглашений» и «Продолжение». «Нормандский формат» — дипломатическая группа из представителей Германии, России, Франции и Украины по урегулированию ситуации в Донбассе.",Политика,Политика,2019-12-10,ru
51b26abd3fc63dd8847feed6,https://lenta.ru/news/2019/12/12/saved/,Названо число спасенных при пожаре на крейсере «Адмирал Кузнецов»,"С крейсера «Адмирал Кузнецов» под Мурманском спасли шесть человек, троих найти не удалось. Об этом сообщил «Интерфакс» со ссылкой на источник. Ранее сообщалось, что пострадали три человека. Как пишет ТАСС, спасено восемь человек, судьба еще одного остается неизвестной. По данным центра судостроения «Звездочка», информация о пострадавших пока не подтверждается. Пожар на крейсере «Адмирал Кузнецов» произошел  12 декабря. По предварительным данным, возгорание произошло во время ремонта в первом энергоотсеке на второй палубе. В настоящее время крейсер стоит на ремонте в доке. Как сообщал источник «Интерфакса», площадь пожара выросла до 120 квадратных метров, горит дизельное топливо, огнем охвачен весь энергоотсек.",Общество,Общество,2019-12-12,ru
4a5837c7f0be58663b9fcc1d,https://lenta.ru/news/2019/12/12/pozh/,На крейсере «Адмирал Кузнецов» произошел пожар,"На авианесущем крейсере «Адмирал Кузнецов» под Мурманском произошел пожар, пострадал минимум один человек. Об этом сообщил «Интерфакс» со ссылкой на источник. По предварительным данным, возгорание произошло во время ремонта в первом энергоотсеке на второй палубе. Информацию о возгорании также подтвердило РИА Новости со ссылкой на экстренные службы. Собеседник агентства добавил, что в настоящее время крейсер стоит на ремонте в доке. В августе на полигоне в Архангельской области в 30 километрах от Северодвинска произошел взрыв во время испытания жидкостной реактивной двигательной установки. Устройство также загорелось. Пожар начался на корабле при проведении работ гражданскими специалистами. В результате взрыва погибли два специалиста Министерства обороны России, пострадали шесть человек — сотрудники ведомства и предприятия-разработчика. Крейсер «Адмирал Кузнецов» был заложен на Черноморском судостроительном заводе в 1982 году. Он может нести более 50 летательных аппаратов, в состав его вооружения входят крылатые противокорабельные ракеты «Гранит», зенитный ракетный и ракетно-пушечный комплексы «Клинок» и «Каштан», а также система противолодочной обороны.",Общество,Общество,2019-12-12,ru
